IP,Total_Eventos,Detectado_PortScan
18.97.36.78,23,Não
10.0.2.15,469,Não
140.82.113.25,11,Não
177.124.186.254,41,Sim
34.107.243.93,27,Não
172.217.30.138,41,Não
52.70.131.136,76,Não
34.36.137.203,7,Não
34.110.138.217,8,Não
185.125.190.48,5,Não
193.162.131.1,19,Não
44.239.220.251,8,Não
172.217.172.42,12,Não
108.139.166.111,4,Não
142.251.0.84,21,Não
140.82.112.26,33,Não
4.228.31.150,24,Não
142.250.219.238,67,Não
172.217.28.206,36,Não
44.230.160.210,43,Não
172.217.29.195,6,Não
172.217.30.8,6,Não
172.217.162.14,13,Não
